response,token,correct,contrast,vib_style,placement,pID
meet,mutt,0,Vhl,ctrl,neck,10
teens,tons,0,Vhl,amp,neck,10
pence,pence,1,vf,lowfi,neck,10
zip,zip,1,vf,amp,neck,10
kate,gait,0,vs,lowfi,neck,10
bar,bar,1,vs,lowfi,neck,10
tomb,doom,0,vs,lowfi,neck,10
teat,teat,1,Vhl,ctrl,neck,10
fleece,fleas,0,vf,ctrl,neck,10
jack,jack,1,vf,amp,neck,10
Dan,Dan,1,vs,amp,neck,10
cat,cat,1,vs,lowfi,neck,10
rig,rig,1,vs,amp,neck,10
cuss,cuz,0,vf,ctrl,neck,10
pack,pack,1,vs,ctrl,neck,10
niece,knees,0,vf,ctrl,neck,10
bleat,bleat,1,vs,lowfi,neck,10
chest,jest,0,vf,ctrl,neck,10
fizz,fizz,1,vf,ctrl,neck,10
beach,beach,1,vs,lowfi,neck,10
try,try,1,vs,lowfi,neck,10
calf,calf,1,vf,amp,neck,10
gat,gat,1,vs,lowfi,neck,10
league,lug,0,Vhl,lowfi,neck,10
patty,patty,1,vs,lowfi,neck,10
deb,deb,1,vs,amp,neck,10
Bart,bard,0,vs,amp,neck,10
cheer,cheer,1,vf,amp,neck,10
dad,dad,1,Vhl,lowfi,neck,10
sack,sack,1,vf,ctrl,neck,10
slack,slack,1,Vhl,ctrl,neck,10
boot,booed,0,vs,amp,neck,10
limb,limb,1,Vhl,amp,neck,10
ring,ring,1,Vhl,lowfi,neck,10
chin,gin,0,vf,lowfi,neck,10
knap,knap,1,Vhl,ctrl,neck,10
loose,loose,1,Vhl,ctrl,neck,10
vault,vault,1,vf,lowfi,neck,10
manse,manse,1,vf,amp,neck,10
shard,shard,1,Vhl,amp,neck,10
paste,baste,0,vs,amp,neck,10
hard,hood,0,Vhl,lowfi,neck,10
cherry,jerry,0,vf,lowfi,neck,10
vat,vat,1,vf,lowfi,neck,10
bay,pay,0,vs,amp,neck,10
time,time,1,vs,ctrl,neck,10
mat,mat,1,Vhl,lowfi,neck,10
zips,zaps,0,Vhl,ctrl,neck,10
tens,tens,1,vf,ctrl,neck,10
buzz,buzz,1,vf,amp,neck,10
clot,clot,1,vs,amp,neck,10
khaki,khaki,1,Vhl,amp,neck,10
pang,bang,0,vs,amp,neck,10
wank,wank,1,Vhl,lowfi,neck,10
blank,blank,1,vs,lowfi,neck,10
tale,tale,1,vs,ctrl,neck,10
dole,dole,1,vs,ctrl,neck,10
file,file,1,vf,ctrl,neck,10
sop,sop,1,Vhl,lowfi,neck,10
buff,beef,0,Vhl,ctrl,neck,10
trill,trill,1,vs,ctrl,neck,10
wack,wack,1,Vhl,amp,neck,10
struck,struck,1,Vhl,ctrl,neck,10
buyers,buyers,1,vf,amp,neck,10
neat,gnat,0,Vhl,ctrl,neck,10
miss,mass,0,Vhl,lowfi,neck,10
van,fan,0,vf,amp,neck,10
chuck,chick,0,Vhl,lowfi,neck,10
