pID,placement,vib_style,contrast,accuracy
10,hands,amp,vf,0.875
10,hands,amp,vs,0.875
10,hands,amp,Vhl,0.7142857142857143
10,hands,lowfi,vf,0.77777777777777779
10,hands,lowfi,vs,0.75
10,hands,lowfi,Vhl,0.90000000000000002
10,hands,ctrl,vf,0.40000000000000002
10,hands,ctrl,vs,0.69999999999999996
10,hands,ctrl,Vhl,1.0
10,neck,amp,vf,0.81818181818181823
10,neck,amp,vs,0.45454545454545453
10,neck,amp,Vhl,0.8571428571428571
10,neck,lowfi,vf,0.75
10,neck,lowfi,vs,0.80000000000000004
10,neck,lowfi,Vhl,0.45454545454545453
10,neck,ctrl,vf,0.54545454545454541
10,neck,ctrl,vs,0.77777777777777779
10,neck,ctrl,Vhl,0.58333333333333337
17,hands,amp,vf,0.42857142857142855
17,hands,amp,vs,0.55555555555555558
17,hands,amp,Vhl,0.69230769230769229
17,hands,lowfi,vf,0.69999999999999996
17,hands,lowfi,vs,0.5714285714285714
17,hands,lowfi,Vhl,1.0
17,hands,ctrl,vf,0.66666666666666663
17,hands,ctrl,vs,0.625
17,hands,ctrl,Vhl,0.66666666666666663
17,neck,amp,vf,1.0
17,neck,amp,vs,0.5
17,neck,amp,Vhl,0.55555555555555558
17,neck,lowfi,vf,0.5
17,neck,lowfi,vs,0.7142857142857143
17,neck,lowfi,Vhl,0.54545454545454541
17,neck,ctrl,vf,0.66666666666666663
17,neck,ctrl,vs,0.66666666666666663
17,neck,ctrl,Vhl,0.7142857142857143
27,hands,amp,vf,0.54545454545454541
27,hands,amp,vs,0.40000000000000002
27,hands,amp,Vhl,0.80000000000000004
27,hands,lowfi,vf,0.46153846153846156
27,hands,lowfi,vs,0.5
27,hands,lowfi,Vhl,0.8571428571428571
27,hands,ctrl,vf,0.66666666666666663
27,hands,ctrl,vs,0.40000000000000002
27,hands,ctrl,Vhl,0.59999999999999998
27,neck,amp,vf,0.5714285714285714
27,neck,amp,vs,0.5714285714285714
